fold,repeat,feature,feature_type,delta_auc,delta_accuracy,delta_brier
3,5,Ax,Kinematic,0.006993006993006867,0.0,0.003926159694381301
3,5,Ay,Kinematic,0.0,0.0,-0.007397173061743784
3,5,Jx,Kinematic,0.0,0.0,-0.007824080663612454
3,5,Jy,Kinematic,0.006993006993006867,0.0,0.00257937982177657
3,5,Age,Demographic,0.0,0.0,0.0001486445786228474
3,5,Gender,Demographic,0.0,0.0,0.0004949166321137621
3,6,X,Kinematic,0.006993006993006867,0.0,-0.006147542528001537
3,6,Y,Kinematic,0.10489510489510478,0.08333333333333337,0.07976411212065705
3,6,Pressure,Kinematic,0.020979020979020824,0.0,0.011278789966200506
3,6,Azimuth,Kinematic,-1.1102230246251565e-16,0.0,0.010669821169274701
3,6,Tilt,Kinematic,0.0,0.0,0.003888597879256217
3,6,PenStatus,Kinematic,-0.013986013986014068,0.0,-0.011012800241019097
3,6,Vx,Kinematic,0.006993006993006867,0.04166666666666663,0.020575946145093713
3,6,Vy,Kinematic,-0.006993006993007089,-0.04166666666666663,-0.025881292620410973
3,6,Ax,Kinematic,0.006993006993006867,0.04166666666666663,0.009939537393178474
3,6,Ay,Kinematic,0.006993006993006867,0.04166666666666663,0.006239895782000612
3,6,Jx,Kinematic,0.013986013986013845,0.04166666666666663,0.017245231576131684
3,6,Jy,Kinematic,-0.013986013986014179,0.0,-0.012901553290355541
3,6,Age,Demographic,0.0,0.0,0.00038552422176729717
3,6,Gender,Demographic,0.0,0.0,-0.0016766934444405052
3,7,X,Kinematic,-1.1102230246251565e-16,0.0,-0.013135190026338756
3,7,Y,Kinematic,0.055944055944055826,0.125,0.07102741372709793
3,7,Pressure,Kinematic,0.006993006993006867,0.0,0.0031016462221859498
3,7,Azimuth,Kinematic,-1.1102230246251565e-16,0.0,0.005497556396435704
3,7,Tilt,Kinematic,0.0,0.0,0.003155286329429574
3,7,PenStatus,Kinematic,-0.013986013986014068,0.0,-0.010067024566051325
3,7,Vx,Kinematic,0.04195804195804187,0.08333333333333337,0.05904986726921281
3,7,Vy,Kinematic,0.020979020979020824,0.04166666666666663,0.03314239494488781
3,7,Ax,Kinematic,0.0,0.04166666666666663,-0.001590163323281657
